"Fecha " Comportamiento_de_la_accion Diferencia_absoluta_close-high
2021-11-11 BAJA 40.5
2021-11-12 SUBE 40.1499
2021-11-15 SUBE 8.6799
2021-11-16 SUBE 1.7
2021-11-17 BAJA 15.72
2021-11-18 SUBE 129.71
2021-11-19 BAJA 36.1199
2021-11-22 BAJA 103.8098
2021-11-23 BAJA 5.0
2021-11-24 SUBE 17.74
2021-11-26 BAJA 97.54
2021-11-29 SUBE 13.9302
2021-11-30 BAJA 56.4299
2021-12-01 BAJA 101.28
2021-12-02 BAJA 22.6399
2021-12-03 BAJA 65.21
2021-12-06 SUBE 34.3701
2021-12-07 SUBE 31.29
2021-12-08 SUBE 0.1499
2021-12-09 BAJA 31.5801
2021-12-10 BAJA 64.1001
2021-12-13 BAJA 48.6499
2021-12-14 SUBE 30.8301
2021-12-15 SUBE 94.3401
2021-12-16 BAJA 89.9502
2021-12-17 SUBE 46.1401
2021-12-20 SUBE 4.5801
2021-12-21 SUBE 51.3301
2021-12-22 SUBE 35.3401
2021-12-23 SUBE 12.8101
2021-12-27 BAJA 27.3501
2021-12-28 SUBE 9.5701
2021-12-29 BAJA 32.78
2021-12-30 BAJA 21.1101
2021-12-31 BAJA 44.78
2022-01-03 SUBE 57.0901
2022-01-04 BAJA 58.3201
2022-01-05 BAJA 50.52
2022-01-06 BAJA 3.9299
2022-01-07 BAJA 25.7
2022-01-10 SUBE 18.01
2022-01-11 SUBE 77.24
2022-01-12 BAJA 27.3601
2022-01-13 BAJA 80.73
2022-01-14 SUBE 39.76
2022-01-18 BAJA 3.75
2022-01-19 BAJA 49.26
2022-01-20 BAJA 101.97
2022-01-21 BAJA 146.1399
2022-01-24 SUBE 110.8799
2022-01-25 BAJA 45.1301
2022-01-26 BAJA 117.55
2022-01-27 BAJA 23.25
2022-01-28 SUBE 62.3501
2022-01-31 SUBE 96.47
2022-02-01 SUBE 23.8701
2022-02-02 BAJA 88.76
2022-02-03 BAJA 57.8401
2022-02-04 SUBE 40.6602
2022-02-07 BAJA 11.6899
2022-02-08 SUBE 93.26
2022-02-09 BAJA 33.6799
2022-02-10 SUBE 13.0701
2022-02-11 BAJA 96.8198
2022-02-14 SUBE 68.3201
2022-02-15 BAJA 21.9001
2022-02-16 SUBE 46.2
2022-02-17 BAJA 69.8699
2022-02-18 BAJA 57.96
2022-02-22 BAJA 5.6201
2022-02-23 BAJA 136.47
2022-02-24 SUBE 230.4099
2022-02-25 SUBE 64.77
2022-02-28 SUBE 22.76
2022-03-01 BAJA 31.8098
2022-03-02 SUBE 24.0701
2022-03-03 BAJA 112.6599
2022-03-04 BAJA 30.3599
2022-03-07 BAJA 159.8101
2022-03-08 BAJA 13.3799
2022-03-09 BAJA 4.4199
2022-03-10 SUBE 22.6501
2022-03-11 BAJA 81.0
2022-03-14 BAJA 82.5601
2022-03-15 SUBE 90.3301
2022-03-16 SUBE 92.0801
2022-03-17 SUBE 91.97
2022-03-18 SUBE 88.75
2022-03-21 SUBE 7.4102
2022-03-22 SUBE 61.6699
2022-03-23 BAJA 5.9402
2022-03-24 BAJA 2.0
2022-03-25 SUBE 15.47
2022-03-28 SUBE 80.3101
2022-03-29 BAJA 21.3799
2022-03-30 BAJA 44.1699
2022-03-31 BAJA 68.95
2022-04-01 BAJA 11.79
2022-04-04 SUBE 84.4299
2022-04-05 BAJA 73.73
2022-04-06 BAJA 57.8899
2022-04-07 BAJA 12.3101
2022-04-08 BAJA 45.79
2022-04-11 BAJA 31.8201
2022-04-12 BAJA 58.1001
2022-04-13 SUBE 110.45
2022-04-14 BAJA 73.6702
2022-04-18 SUBE 25.23
2022-04-19 SUBE 121.72
2022-04-20 BAJA 72.0901
2022-04-21 BAJA 128.3601
2022-04-22 BAJA 78.0
2022-04-25 SUBE 41.02
2022-04-26 BAJA 108.1799
2022-04-27 BAJA 40.49
2022-04-28 SUBE 48.3699
2022-04-29 BAJA 111.3501
2022-05-02 SUBE 41.98
